Date/Time,Electricity:Facility [J](Hourly),Electricity:HVAC [J](Hourly),Refrigeration:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),Heating:Gas [J](Hourly) 
 01/05  05:00:00,220141874.18071396,18716142.85714286,63970334.763570878,0.0,0.0,58561256.160000007,75312471.60000006,3581668.8000000005,18716142.85714286,237627724.28880788,237627724.28880788,237627724.28880788 
 01/05  06:00:00,228028222.63466139,18716142.85714286,64231195.61751837,0.0,0.0,61319806.56,77202194.39999996,6558883.200000001,18716142.85714286,239961584.5076517,239961584.5076517,239961584.5076517 
 01/05  07:00:00,367318657.2056458,18716142.85714286,140533535.7485028,0.0,0.0,119113540.2,80247873.59999995,8707564.799999999,18716142.85714286,225049986.3102136,225049986.3102136,225049986.3102136 
 01/05  08:00:00,418820167.2826065,18716142.85714286,181988713.3854635,0.0,0.0,128329723.44,83338419.60000007,6447168.0,18716142.85714286,215929339.5659729,215929339.5659729,215929339.5659729 
 01/05  09:00:00,448838160.08636286,18716142.85714286,164404996.26921994,0.0,0.0,179212120.56,84053905.20000009,2450995.2,18716142.85714286,208457727.43732924,208457727.43732924,208457727.43732924 
 01/05  10:00:00,564207829.7359362,18716142.85714286,187921004.31879328,0.0,0.0,271454585.76,84613298.39999993,1502798.4,18716142.85714286,192075894.44524033,192075894.44524033,192075894.44524033 
 01/05  11:00:00,579053262.4966409,18716142.85714286,187487441.2794981,0.0,0.0,287326674.36,83900671.19999999,1622332.8,18716142.85714286,168164245.72193779,168164245.72193779,168164245.72193779 
 01/05  12:00:00,580211205.1339152,18607545.91836735,189251665.73554779,0.0,0.0,288242522.28,83561176.80000003,548294.4,18607545.91836735,146997286.98429276,146997286.98429276,146997286.98429276 
 01/05  13:00:00,592303320.8657265,18439714.285714285,194156927.22001229,0.0,0.0,295278158.16,84204269.9999999,224251.19999999999,18439714.285714285,130104439.60597818,130104439.60597818,130104439.60597818 
 01/05  14:00:00,597374371.2706528,18439714.285714285,203185337.7449386,0.0,0.0,291791858.04,83753427.59999994,204033.6,18439714.285714285,111945189.79886326,111945189.79886326,111945189.79886326 
 01/05  15:00:00,599579905.0960797,18439714.285714285,201805929.65036548,0.0,0.0,294836313.96000006,83806142.40000008,691804.8,18439714.285714285,98093379.5454926,98093379.5454926,98093379.5454926 
 01/05  16:00:00,592109003.5779017,18439714.285714285,197088944.97218735,0.0,0.0,290116962.72,83691799.20000009,2771582.4,18439714.285714285,99546159.82970478,99546159.82970478,99546159.82970478 
 01/05  17:00:00,601435539.1665719,18439714.285714285,196672677.44085766,0.0,0.0,296163242.64,83750234.4,6409670.4,18439714.285714285,98679058.86166764,98679058.86166764,98679058.86166764 
 01/05  18:00:00,595670244.5893121,18439714.285714285,195706964.0635978,0.0,0.0,288536138.64,84192901.20000004,8794526.4,18439714.285714285,107210270.16923918,107210270.16923918,107210270.16923918 
 01/05  19:00:00,533872553.64364638,18439714.285714285,191991104.31793235,0.0,0.0,230881850.64,83783674.79999991,8776209.6,18439714.285714285,127849007.02250886,127849007.02250886,127849007.02250886 
 01/05  20:00:00,470672673.1922866,18577928.57142857,191915035.58085818,0.0,0.0,168371594.64,83023783.19999998,8784331.2,18577928.57142857,146417409.72119747,146417409.72119747,146417409.72119747 
 01/05  21:00:00,461060729.1075672,18716142.85714286,186299999.57042445,0.0,0.0,164381221.07999999,83037751.19999995,8625614.4,18716142.85714286,164719472.0706379,164719472.0706379,164719472.0706379 
 01/05  22:00:00,298897703.466208,18716142.85714286,87591006.64906517,0.0,0.0,100703865.96,83252001.59999992,8634686.4,18716142.85714286,168945889.63509453,168945889.63509453,168945889.63509453 
 01/05  23:00:00,234267051.93041609,18716142.85714286,68720953.75327294,0.0,0.0,58258222.92,79903436.40000008,8668296.0,18716142.85714286,177605031.51412127,177605031.51412127,177605031.51412127 
 01/05  24:00:00,221151519.14231438,18716142.85714286,64408624.80517141,0.0,0.0,57423439.08,74723965.2,5879347.2,18716142.85714286,191938023.2856474,191938023.2856474,191938023.2856474 
 01/06  01:00:00,218884372.7092912,18716142.85714286,67089855.852148149,0.0,0.0,57379838.4,72118421.99999997,3580113.6000000007,18716142.85714286,198299880.47200827,198299880.47200827,198299880.47200827 
 01/06  02:00:00,219372480.0530273,18716142.85714286,66778061.915884349,0.0,0.0,57300083.28,72984211.19999999,3593980.8000000005,18716142.85714286,203621412.27310626,203621412.27310626,203621412.27310626 
 01/06  03:00:00,219748060.26549597,18716142.85714286,66498082.488352987,0.0,0.0,57331053.72,73610485.19999999,3592296.0,18716142.85714286,207147798.5227369,207147798.5227369,207147798.5227369 
 01/06  04:00:00,221233325.9668024,18716142.85714286,66474829.749659378,0.0,0.0,57571889.76,74879852.39999996,3590611.2,18716142.85714286,207954267.20774419,207954267.20774419,207954267.20774419 
 01/06  05:00:00,221343637.07948316,18716142.85714286,65172097.66234005,0.0,0.0,58561256.160000007,75312471.60000006,3581668.8000000005,18716142.85714286,212554054.00532747,212554054.00532747,212554054.00532747 
 01/06  06:00:00,229137157.4544312,18716142.85714286,65340130.437288198,0.0,0.0,61319806.56,77202194.39999996,6558883.200000001,18716142.85714286,214649711.58006949,214649711.58006949,214649711.58006949 
